"food_id","name","image","cate_food_id","calorie","fat","protein","carbohydrate","fiber","status","addess","admin_id","created_at","updated_at"
"1","เนื้ออบสูตรโบราณ ข้าวผัดกระเทียม","1124222360.webp","3","1060.7000","46.2910","145.1550","13.6500","0.3650","1","https://www.knorr.com/th/home.html","1","2021-08-15 22:34:42","2021-08-15 23:19:35"
"2","ต้มแซ่บเนื้อวัว (สูตรสำเร็จ)","157360525.webp","2","159.3000","8.8920","18.4770","0.0000","0.0000","1","https://www.knorr.com/th","1","2021-08-15 23:22:58","2021-08-19 22:00:07"
"3","โรตีแกงเขียวหวานเนื้อ","1582789367.webp","2","151.7200","7.1450","21.7395","0.0875","0.0345","1","https://www.knorr.com/th","1","2021-08-16 00:35:26","2021-08-16 00:53:17"
"4","เนื้อผัดพริกไทยดำกับถั่วงอก","269524556.jpg","3","514.2760","21.7720","64.6060","17.5840","4.1300","1","https://www.maeban.co.th/menu_detail.php?bl=4094","1","2021-08-16 15:18:36","2021-08-21 01:29:06"
"5","แกงเขียวหวานไก่ใส่ถั่วลันเตา","824406886.jpg","2","657.8200","46.5250","47.6865","11.9475","4.9125","1","https://www.maeban.co.th/menu_detail.php?bl=4093","1","2021-08-17 22:50:37","2021-08-17 23:08:21"
"6","มัสมั่นหมูรวมถั่ว","1843128721.jpg","3","1456.3470","69.6200","94.5845","122.5510","11.8750","1","https://www.maeban.co.th/menu_detail.php?bl=4092","1","2021-08-18 23:06:11","2021-08-21 01:30:54"
"7","ปลากะพง ลุยสวน","975927117.jpg","4","148.8730","2.8749","34.5956","4.8362","0.2770","1","https://www.maeban.co.th/menu_detail.php?bl=4107","2","2021-08-18 23:49:57","2021-08-19 01:05:44"
"8","หมูสามชั้นผัดเผือก","1881663631.jpg","3","1380.9680","118.0255","23.7215","38.9382","6.5520","1","https://www.maeban.co.th/menu_detail.php?bl=4086","1","2021-08-19 00:14:05","2021-08-19 01:02:38"
"9","เส้นเล็กผัดต้มยำแห้ง","1869496078.jpg","3","200.8695","2.6530","14.1819","31.1978","1.2660","1","https://www.maeban.co.th/menu_detail.php?bl=4105","2","2021-08-19 00:16:41","2021-08-19 01:10:31"
"10","ข้าวผัดกะปิปลาทับทิมฟู","1763755730.jpg","3","823.5755","8.0725","80.2430","104.1148","1.4205","1","https://www.maeban.co.th/menu_detail.php?bl=4049","1","2021-08-19 22:08:24","2021-08-19 22:44:14"
"11","สลัดเนื้อย่างน้ำจิ้มแจ่ว","1010854014.jpg","6","690.2855","36.4000","82.5988","3.2319","0.2360","1","https://www.maeban.co.th/menu_detail.php?bl=4102","2","2021-08-19 22:30:12","2021-08-19 23:07:54"
"12","หลนปลาทับทิมข้าวหมาก","1079563834.jpg","2","216.3000","4.4750","41.0980","6.6250","2.7620","1","https://www.maeban.co.th/menu_detail.php?bl=4042","1","2021-08-19 22:57:29","2021-08-20 00:28:16"
"13","ปลานิลผัดเปรี้ยวหวาน","1609966826.jpg","3","487.9780","6.6200","63.6300","47.3700","6.5800","1","https://www.maeban.co.th/menu_detail.php?bl=4037","1","2021-08-19 23:03:44","2021-08-21 01:32:29"
"14","หอยทอด","529071113.jpg","4","479.0200","23.8410","48.5050","15.7880","1.8860","1","https://www.maeban.co.th/menu_detail.php?bl=4099","2","2021-08-19 23:18:59","2021-08-19 23:56:23"
"15","น้ำพริกพริกปลาสลิดบางบ่อ","443215910.jpg","7","6.5940","0.0415","1.4710","1.2803","0.0140","1","https://www.maeban.co.th/menu_detail.php?bl=4079","2","2021-08-20 00:17:44","2021-08-20 00:25:17"
"16","ไก่บ้านต้มขมิ้น","1646702052.jpg","2","748.3890","18.3000","110.0050","40.5390","4.2000","1","https://www.maeban.co.th/menu_detail.php?bl=4076","2","2021-08-20 00:28:13","2021-08-20 01:00:50"
"17","ปลาหมึกผัดสับปะรดใส่กะปิ","711289871.jpg","3","269.7530","4.7040","29.0390","28.0200","2.1040","1","https://www.maeban.co.th/menu_detail.php?bl=4074","2","2021-08-20 01:10:31","2021-08-20 01:15:24"
"18","สเต๊กไก่กรอบไส้สปาเกตตีผัดซอส","1875528788.jpg","3","629.7938","11.1582","76.4890","47.3067","1.9582","1","https://www.maeban.co.th/menu_detail.php?bl=4015","1","2021-08-20 01:17:20","2021-08-20 02:06:54"
"19","ไก่เนย","1521735332.jpg","3","794.4500","17.1340","136.7880","14.2673","2.6450","1","https://www.maeban.co.th/menu_detail.php?bl=4068","2","2021-08-20 01:17:48","2021-08-21 00:43:39"
"20","วุ้นเส้นผัดกะเพรา","727625851.jpg","3","588.1345","9.2815","18.8930","104.6058","0.6040","1","https://www.maeban.co.th/menu_detail.php?bl=3842","1","2021-08-20 02:16:56","2021-08-21 15:56:01"
"21","ลาบคั่วปลาตะเพียนสับ","89845606.jpg","8","116.1390","3.3184","20.6042","1.0478","0.3430","1","https://www.maeban.co.th/menu_detail.php?bl=4063","2","2021-08-20 22:16:12","2021-08-20 22:35:27"
